Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,osm_id,highway,waterway,covered,depth_isempty,depth,blockage,aerialway,barrier,man_made,width_isempty,width,height,maxheight,layer_isempty,layer,sidewalk,tunnel,bridge,other_tags
Azikiwe Road,,,,,,-1,-1,-1,,,23331886,tertiary,,,1,-1,,,,,1,-1,,,1,-1,,,,"""old_name""=>""Azikiwe Street"",""oneway""=>""yes"""
Azikiwe St.,,,,,,-1,-1,-1,,,23331888,tertiary,,,1,-1,,,,,1,-1,,,1,-1,,,,
Luthuli Street,,,,,,-1,-1,-1,,,23331890,residential,,,1,-1,,,,,1,-1,,,1,-1,,,,
,,,,,,-1,-1,-1,,,23331895,residential,,,1,-1,,,,,1,-1,,,1,-1,,,,"""junction""=>""roundabout"""
Garden Avenue,,,,,,-1,-1,-1,,,23331908,tertiary,,,1,-1,,,,,0,5,,,1,-1,,,,"""smoothness""=>""good"",""surface""=>""asphalt"""
Aggrey Street,,,,,,-1,-1,-1,,,23331909,residential,,,1,-1,,,,,1,-1,,,1,-1,,,,
,,,,,,-1,-1,-1,,,23331929,secondary,,,1,-1,,,,,1,-1,,,1,-1,,,,"""junction""=>""roundabout"""
,,,,,,-1,-1,-1,,,23331952,secondary,,,1,-1,,,,,1,-1,,,1,-1,,,,
Uhuru Street,,,,,,-1,-1,-1,,,23331984,tertiary,,,1,-1,,,,,1,-1,,,1,-1,,,,
Uhuru Street,,,,,,-1,-1,-1,,,23331985,tertiary,,,1,-1,,,,,1,-1,,,1,-1,,,,
Malik Road,,,,,,-1,-1,-1,,,23331996,residential,,,1,-1,,,,,1,-1,,,1,-1,,,,
,,,,,,-1,-1,-1,,,23331999,residential,,,1,-1,,,,,1,-1,,,1,-1,,,,
,,,,,,-1,-1,-1,,,23332002,residential,,,1,-1,,,,,1,-1,,,1,-1,,,,
,,,,,,-1,-1,-1,,,23332006,unclassified,,,1,-1,,,,,1,-1,,,1,-1,,,,
,,,,,,-1,-1,-1,,,23332008,unclassified,,,1,-1,,,,,1,-1,,,1,-1,,,,
,,,,,,-1,-1,-1,,,23332015,residential,,,1,-1,,,,,1,-1,,,1,-1,,,,
,,,,,,-1,-1,-1,,,23334294,tertiary,,,1,-1,,,,,1,-1,,,1,-1,,,,
,,,,,,-1,-1,-1,,,23334299,tertiary,,,1,-1,,,,,1,-1,,,1,-1,,,,"""surface""=>""asphalt"",""motor_vehicle""=>""yes"""
,,,,,,-1,-1,-1,,,23334301,residential,,,1,-1,,,,,1,-1,,,1,-1,,,,
,,,,,,-1,-1,-1,,,23334308,residential,,,1,-1,,,,,1,-1,,,1,-1,,,,
,,,,,,-1,-1,-1,,,23334310,residential,,,1,-1,,,,,1,-1,,,1,-1,,,,
Sinza Mori Road,,,,,,-1,-1,-1,,,23334603,unclassified,,,1,-1,,,,,1,-1,,,1,-1,,,,
,,,,,,-1,-1,-1,,,23334619,unclassified,,,1,-1,,,,,1,-1,,,1,-1,,,,
,,,,,,-1,-1,-1,,,23334662,residential,,,1,-1,,,,,1,-1,,,1,-1,,,,
Rose Garden Road,,,,,,-1,-1,-1,,,23334664,tertiary,,,1,-1,,,,,1,-1,,,1,-1,,,,"""lanes""=>""2"",""surface""=>""paved"""
,,,,,,-1,-1,-1,,,23334667,tertiary,,,1,-1,,,,,1,-1,,,1,-1,,,,"""surface""=>""paved"""
Kondoa Street,,,,,,-1,-1,-1,,,23334670,unclassified,,,1,-1,,,,,1,-1,,,1,-1,,,,"""surface""=>""asphalt"""
Nelson Mandela Road,,,,,,-1,-1,-1,,,23334728,primary,,,1,-1,,,,,1,-1,,,1,-1,,,,"""oneway""=>""yes"""
,,,,,,-1,-1,-1,,,23334729,primary,,,1,-1,,,,,1,-1,,,0,1,,,yes,
,,,,,,-1,-1,-1,,,23334733,primary,,,1,-1,,,,,1,-1,,,0,1,,,yes,"""oneway""=>""yes"""
River Msimbazi,,,,,,-1,-1,-1,,,23334736,,river,,1,-1,,,,,1,-1,,,1,-1,,,,"""boat""=>""no"""
,,,,,,-1,-1,-1,,,23334775,,river,,1,-1,,,,,1,-1,,,1,-1,,,,"""boat""=>""no"""
,,,,,,-1,-1,-1,,,23334777,tertiary,,,1,-1,,,,,1,-1,,,1,-1,,,,
,,,,,,-1,-1,-1,,,23334778,tertiary,,,1,-1,,,,,1,-1,,,0,1,,,yes,
,,,,,,-1,-1,-1,,,23334784,,canal,,1,-1,,,,,1,-1,,,1,-1,,,,
,,,,,,-1,-1,-1,,,23334790,unclassified,,,1,-1,,,,,1,-1,,,1,-1,,,,
Swahili Street,,,,,,-1,-1,-1,,,23334802,unclassified,,,1,-1,,,,,0,6,,,1,-1,,,,"""smoothness""=>""intermediate"",""surface""=>""asphalt"""
Mivinjeni street,,,,,,-1,-1,-1,,,23334806,residential,,,1,-1,,,,,1,-1,,,1,-1,,,,
,,,,,,-1,-1,-1,,,23334833,unclassified,,,1,-1,,,,,1,-1,,,1,-1,,,,
,,,,,,-1,-1,-1,,,23334834,residential,,,1,-1,,,,,1,-1,,,1,-1,,,,
,,,,,,-1,-1,-1,,,23334838,residential,,,1,-1,,,,,1,-1,,,1,-1,,,,
,,,,,,-1,-1,-1,,,23334844,unclassified,,,1,-1,,,,,1,-1,,,1,-1,,,,
,,,,,,-1,-1,-1,,,23334850,residential,,,1,-1,,,,,1,-1,,,1,-1,,,,
,,,,,,-1,-1,-1,,,23334851,residential,,,1,-1,,,,,1,-1,,,1,-1,,,,
,,,,,,-1,-1,-1,,,23334853,residential,,,1,-1,,,,,1,-1,,,1,-1,,,,
,,,,,,-1,-1,-1,,,23334856,residential,,,1,-1,,,,,1,-1,,,1,-1,,,,
,,,,,,-1,-1,-1,,,23334903,residential,,,1,-1,,,,,0,8,,,1,-1,,,,"""smoothness""=>""intermediate"",""surface""=>""unpaved"""
Mto Msimbazi,,,,,,-1,-1,-1,,,23334904,,river,,1,-1,,,,,1,-1,,,1,-1,,,,"""boat""=>""no"""
Kawawa Road,,,,,,-1,-1,-1,,,23334924,primary,,,1,-1,,,,,1,-1,,,0,1,,,yes,"""oneway""=>""yes"""
